"codgeo","libgeo","annee","abs_sm","tcampop_sm"
"84","Auvergne-Rhône-Alpes","1968_1975",20835.8571428571,0.353493976226933
"84","Auvergne-Rhône-Alpes","1975_1982",9573.85714285714,0.154113956228532
"84","Auvergne-Rhône-Alpes","1982_1990",14087.25,0.21710277063648
"84","Auvergne-Rhône-Alpes","1990_1999",6190.88888888889,0.091090045139033
"84","Auvergne-Rhône-Alpes","1999_2009",25454,0.353315098991647
"84","Auvergne-Rhône-Alpes","2009_2014",27524.8,0.360355676164192
"27","Bourgogne-Franche-Comté","1968_1975",6189.42857142857,0.242435037253627
"27","Bourgogne-Franche-Comté","1975_1982",1719.85714285714,-0.064848405969511
"27","Bourgogne-Franche-Comté","1982_1990",4056.75,-0.150706727435718
"27","Bourgogne-Franche-Comté","1990_1999",2391,-0.088037338835325
"27","Bourgogne-Franche-Comté","1999_2009",3341.7,0.120878868824877
"27","Bourgogne-Franche-Comté","2009_2014",1622.6,-0.057648679147394
"53","Bretagne","1968_1975",5504.42857142857,0.218237344556727
"53","Bretagne","1975_1982",8636.71428571429,0.32674767622911
"53","Bretagne","1982_1990",4871.875,0.177414055438906
"53","Bretagne","1990_1999",8145.44444444445,0.28636549878375
"53","Bretagne","1999_2009",20419.1,0.674961426074668
"53","Bretagne","2009_2014",15414.4,0.479392892790882
"24","Centre-Val de Loire","1968_1975",13177.2857142857,0.640065308290856
"24","Centre-Val de Loire","1975_1982",10095,0.458885537419911
"24","Centre-Val de Loire","1982_1990",7219.25,0.31245182684955
"24","Centre-Val de Loire","1990_1999",2945,0.122623079248973
"24","Centre-Val de Loire","1999_2009",4280.6,0.172311183948424
"24","Centre-Val de Loire","2009_2014",2564,0.100388366394327
"94","Corse","1968_1975",2597.28571428571,1.21476761625754
"94","Corse","1975_1982",2104.14285714286,0.907932224886936
"94","Corse","1982_1990",1077.625,0.440561393733891
"94","Corse","1990_1999",1003.55555555556,0.394004625419496
"94","Corse","1999_2009",4498.1,1.60613739547549
"94","Corse","2009_2014",3657.2,1.16842746379386
"44","Grand Est","1968_1975",4679.02897909995,-0.092486738327928
"44","Grand Est","1975_1982",17966.2076606467,-0.345168699693705
"44","Grand Est","1982_1990",19589.2067194111,-0.372985283714596
"44","Grand Est","1990_1999",7932.55555555556,-0.148935184024082
"44","Grand Est","1999_2009",4198.7,-0.07701952379229
"44","Grand Est","2009_2014",10440.2,-0.188433549046882
"01","Guadeloupe","1968_1975",6567.57142857143,-2.11995111152158
"01","Guadeloupe","1975_1982",3680.42857142857,-1.16301255064321
"01","Guadeloupe","1982_1990",317.625,0.095448880626309
"01","Guadeloupe","1990_1999",545.222222222222,-0.148193123685625
"01","Guadeloupe","1999_2009",2183.5,-0.555225602900853
"01","Guadeloupe","2009_2014",2680.8,-0.668517964466593
"03","Guyane","1968_1975",399.428571428571,0.818462925841819
"03","Guyane","1975_1982",1320.14285714286,2.11612465236813
"03","Guyane","1982_1990",3104.125,3.46019928194052
"03","Guyane","1990_1999",1114.11111111111,0.840966286132594
"03","Guyane","1999_2009",1793.2,0.966651584013592
"03","Guyane","2009_2014",2.8,0.001189688441288
"32","Hauts-de-France","1968_1975",14400.8571428571,-0.262851101294927
"32","Hauts-de-France","1975_1982",20939.1428571429,-0.372121150900185
"32","Hauts-de-France","1982_1990",21814.5,-0.381509329107194
"32","Hauts-de-France","1990_1999",19102.1111111111,-0.328753352820337
"32","Hauts-de-France","1999_2009",19479.3,-0.330461021040195
"32","Hauts-de-France","2009_2014",14805.2,-0.248033863454884
"11","Île-de-France","1968_1975",15270.8571428571,0.160488835835252
"11","Île-de-France","1975_1982",39796.8571428571,-0.39950225998244
"11","Île-de-France","1982_1990",6109.75,-0.059160832590925
"11","Île-de-France","1990_1999",54917.4444444444,-0.508992375988415
"11","Île-de-France","1999_2009",25914,-0.229389770078737
"11","Île-de-France","2009_2014",50665.2,-0.427649468463481
"04","La Réunion","1968_1975",2149.85714285714,-0.48678790444859
"04","La Réunion","1975_1982",4648.57142857143,-0.942538921633269
"04","La Réunion","1982_1990",377.25,0.068503635454716
"04","La Réunion","1990_1999",1862.66666666667,0.288988506856614
"04","La Réunion","1999_2009",456.6,0.060515755222619
"04","La Réunion","2009_2014",4740,-0.573254438178425
"02","Martinique","1968_1975",5645.71428571429,-1.75288015141606
"02","Martinique","1975_1982",3408.28571428571,-1.04411304871941
"02","Martinique","1982_1990",32,0.009359412675818
"02","Martinique","1990_1999",1226.44444444444,-0.332208432486834
"02","Martinique","1999_2009",1277.1,-0.329048511856553
"02","Martinique","2009_2014",4308.2,-1.10078626703556
"28","Normandie","1968_1975",1846.85714285714,-0.065519886905906
"28","Normandie","1975_1982",2030.28571428571,-0.068909009752988
"28","Normandie","1982_1990",1704.625,-0.055717361026095
"28","Normandie","1990_1999",4535.11111111111,-0.143460234180557
"28","Normandie","1999_2009",1058.1,-0.03257927056997
"28","Normandie","2009_2014",2469.6,-0.074463441797699
"75","Nouvelle-Aquitaine","1968_1975",8827.71428571429,0.186366852198334
"75","Nouvelle-Aquitaine","1975_1982",18778.7142857143,0.384898815472656
"75","Nouvelle-Aquitaine","1982_1990",18620.75,0.370341746643439
"75","Nouvelle-Aquitaine","1990_1999",18647.4444444444,0.360117640235616
"75","Nouvelle-Aquitaine","1999_2009",43544,0.79773723591409
"75","Nouvelle-Aquitaine","2009_2014",33420.6,0.578576067285598
"76","Occitanie","1968_1975",17580,0.443639192830103
"76","Occitanie","1975_1982",28368.7142857143,0.685201383535363
"76","Occitanie","1982_1990",34964.75,0.798506805998011
"76","Occitanie","1990_1999",30450,0.650900319907131
"76","Occitanie","1999_2009",55175,1.07703160189755
"76","Occitanie","2009_2014",41904.2,0.751575424114189
"52","Pays de la Loire","1968_1975",4646.57142857143,0.17462972399938
"52","Pays de la Loire","1975_1982",5428,0.191372232423413
"52","Pays de la Loire","1982_1990",1373,0.045977296108837
"52","Pays de la Loire","1990_1999",6546.33333333333,0.209092062482914
"52","Pays de la Loire","1999_2009",16709.4,0.496970548803433
"52","Pays de la Loire","2009_2014",15918,0.442258547621487
"93","Provence-Alpes-Côte d'Azur","1968_1975",43988.1428571429,1.27242427481634
"93","Provence-Alpes-Côte d'Azur","1975_1982",36265,0.954844348998793
"93","Provence-Alpes-Côte d'Azur","1982_1990",27608,0.674755764543139
"93","Provence-Alpes-Côte d'Azur","1990_1999",19400.5555555556,0.444245485191367
"93","Provence-Alpes-Côte d'Azur","1999_2009",27444.6,0.586939670987347
"93","Provence-Alpes-Côte d'Azur","2009_2014",5778,0.117280204606922
